ID,lat,lon,name
997627702,49.4575007,7.7424565,Kaisermühle
997635553,49.4596354,7.7307020,Erzhütten Schule
997635577,49.4578372,7.7391174,Am Alberichsberg
1098582926,49.4539769,7.7592836,Kaiserbergring
1100513300,49.4551557,7.7549597,Sonnenberg
1103143993,49.4479580,7.7507125,Westbahnhof
1103144274,49.4577381,7.7518733,An der Galappmühle
1124805010,49.4446638,7.7743066,Synagogenplatz
1147132891,49.4335100,7.7496858,Gusswerk
1157475667,49.4383338,7.7568174,Pfaffstraße
1157475749,49.4308697,7.7389096,Hohenecker Straße
1157476022,49.4325794,7.7427675,Pfaffsiedlung
1243031554,49.4481735,7.7843642,Alter Friedhof
1676735588,49.4553643,7.7590163,Caesarpark
1695175457,49.4447309,7.7948868,Friedhof
1695175464,49.4450441,7.7912856,Daniel-Häberle-Straße
1812964273,49.4426413,7.7239117,Röchlingstraße
1833342330,49.4548419,7.7739784,Theodor-Heuss-Schule
1841884947,49.4301768,7.7354268,Leipziger Straße
1848990628,49.4342662,7.7659496,"Kaiserslautern, Nachtschicht"
1964672290,49.4415469,7.7529801,Goetheschule
2058463800,49.4223588,7.7051974,Grüne Dell
2169301849,49.4433638,7.8098717,Daennerkaserne
2169302407,49.4440154,7.8017503,23er Kaserner
2169338892,49.4449973,7.7862709,Altenwoogstraße
2177212388,49.4382184,7.8033447,Licht-Luft
2206819788,49.4566189,7.7479714,Engelshof
2206819790,49.4537046,7.7491275,Kaiserberg
2206819792,49.4512840,7.7490176,Neumühle
2292662818,49.4397038,7.7401485,Neue Brücke
2708737293,49.4259161,7.7733572,Schulzentrum Süd
2892622008,49.4536235,7.7690991,Alex-Müller-Straße
3441579476,49.4434599,7.7647961,Fackelwoogstraße
3661976204,49.4542728,7.7924685,
3708222532,49.4449809,7.7458221,Feuerbachstraße
3715527750,49.4415021,7.7006060,IKEA
3821782169,49.4279980,7.7625122,Heinrich-Heine Gymnasium
7237010936,49.4429286,7.7918694,Volkspark
