ID         ,lat        ,lon       ,
1182569687 ,49.4288647 ,7.7171383 ,
1194199962 ,49.4451953 ,7.7729221 ,
1195277221 ,49.4407138 ,7.7764427 ,
1195277369 ,49.4412426 ,7.7762459 ,
1196678586 ,49.5627578 ,8.0163363 ,
1204297194 ,49.4471814 ,7.7770221 ,
1207161123 ,49.4422943 ,7.7449857 ,
1207161954 ,49.4421721 ,7.7448664 ,
1211836057 ,49.4436799 ,7.7777358 ,
1211836076 ,49.4432450 ,7.7795909 ,
1211836593 ,49.4433132 ,7.7796094 ,
1213111232 ,49.4418726 ,7.7835441 ,
1215822904 ,49.4448892 ,7.7939119 ,
1215822905 ,49.4448999 ,7.7937950 ,
1215822951 ,49.4377219 ,7.7721041 ,
1215822953 ,49.4448865 ,7.7942084 ,
1215823027 ,49.4448751 ,7.7940495 ,
1215823051 ,49.4446113 ,7.7939885 ,
1215823328 ,49.4411373 ,7.7888753 ,
1215823525 ,49.4446460 ,7.7937350 ,
1215824196 ,49.4446459 ,7.7938412 ,
1224118460 ,49.4451577 ,7.7865345 ,
1225356639 ,49.4339299 ,7.7517544 ,
1225356680 ,49.4335402 ,7.7488069 ,
1225356732 ,49.4340720 ,7.7521878 ,
1225356824 ,49.4341402 ,7.7520491 ,
1225356830 ,49.4341575 ,7.7519061 ,
1225356878 ,49.4336071 ,7.7485459 ,
1225356889 ,49.4287174 ,7.7389215 ,
1225357339 ,49.4340249 ,7.7517251 ,
1234574340 ,49.4463370 ,7.7800072 ,
1234574366 ,49.4463347 ,7.7784483 ,
1237071902 ,49.4475055 ,7.7702889 ,
1240870639 ,49.4486432 ,7.7696719 ,
1241713864 ,49.4435975 ,7.7778411 ,
1241723342 ,49.4458936 ,7.7708893 ,
1243031567 ,49.4435927 ,7.7819153 ,
1288892712 ,49.4510164 ,7.7485364 ,
1288892776 ,49.4574180 ,7.7480651 ,
1288893392 ,49.4575001 ,7.7480249 ,
1290175670 ,49.4472667 ,7.7667625 ,
1290175764 ,49.4468166 ,7.7608862 ,
1290175981 ,49.4473410 ,7.7699195 ,
1290176251 ,49.4471311 ,7.7686213 ,
1290176343 ,49.4473523 ,7.7612761 ,
1291452800 ,49.4473018 ,7.7671317 ,
1291452843 ,49.4470692 ,7.7669149 ,
1291452934 ,49.4471960 ,7.7671301 ,
1292971023 ,49.4471678 ,7.7380817 ,
1292971368 ,49.4398303 ,7.7107070 ,
1298232124 ,49.4263294 ,7.7491462 ,
1298232386 ,49.4235105 ,7.7491644 ,
1298232505 ,49.4259720 ,7.7496838 ,
1331187516 ,49.4293715 ,7.3571156 ,
1481350169 ,49.4109973 ,7.3654092 ,
1521908130 ,49.3805434 ,7.3297747 ,
1560160608 ,49.4103219 ,7.3765981 ,
1572665610 ,49.4280197 ,7.7748654 ,
1586658606 ,49.4792555 ,7.7726995 ,
1586658640 ,49.4796186 ,7.7720503 ,
1586658663 ,49.4801147 ,7.7699606 ,
1596083383 ,49.4400779 ,7.8096828 ,
1596083506 ,49.4433204 ,7.8106133 ,
1602141880 ,49.4523061 ,7.7927831 ,
1655676063 ,49.4497468 ,7.7750201 ,
1684447080 ,49.4426112 ,7.7508938 ,
1719245530 ,49.6508049 ,8.0156115 ,
1719883750 ,49.6528560 ,8.0184679 ,
1721713425 ,49.4372641 ,7.7667216 ,
1721713426 ,49.4373094 ,7.7668542 ,
1721713436 ,49.4374212 ,7.7682028 ,
1722704473 ,49.5044278 ,7.7713570 ,
1723787780 ,49.5008350 ,7.7715633 ,
1723787899 ,49.5024850 ,7.7725676 ,
1731600781 ,49.5000845 ,7.7021440 ,
1738104968 ,49.4560795 ,7.7978181 ,
1738104980 ,49.4561746 ,7.7979291 ,
1738104987 ,49.4562601 ,7.7981746 ,
1771324590 ,49.4702625 ,7.7658753 ,
1772557069 ,49.4231238 ,7.7496640 ,
1772557088 ,49.4234420 ,7.7493998 ,
1784694216 ,49.4426652 ,7.8961684 ,
1785799488 ,49.4309612 ,7.7806784 ,
1785799550 ,49.4316816 ,7.7718965 ,
1785799596 ,49.4332021 ,7.7716268 ,
1804959349 ,49.4600286 ,7.8092144 ,
1804959355 ,49.4600455 ,7.8090889 ,
1804959359 ,49.4600401 ,7.8087581 ,
1804959572 ,49.4661517 ,7.5938661 ,
1812306845 ,49.4286442 ,7.7388631 ,
1812306870 ,49.4436619 ,7.7817997 ,
1812306873 ,49.4437567 ,7.7818209 ,
1812306878 ,49.4439840 ,7.7728456 ,
1812306882 ,49.4441049 ,7.7727622 ,
1812307012 ,49.4478627 ,7.7544007 ,
1812307016 ,49.4478754 ,7.7502702 ,
1812307064 ,49.4536855 ,7.7913668 ,
1812307065 ,49.4537420 ,7.7913085 ,
1812307067 ,49.4538046 ,7.7912514 ,
1818209736 ,49.4434354 ,7.8198021 ,
1821281900 ,49.4429030 ,7.7591904 ,
1821281906 ,49.4430535 ,7.7594463 ,
1821281907 ,49.4431594 ,7.7725217 ,
1821281910 ,49.4435903 ,7.7591866 ,
1821281911 ,49.4437216 ,7.7589517 ,
1821281963 ,49.4458808 ,7.7708211 ,
1821281964 ,49.4459029 ,7.7707513 ,
1821281968 ,49.4459259 ,7.7704856 ,
1827468977 ,49.4413303 ,7.7068092 ,
1829577733 ,49.4449627 ,7.7733423 ,
1851358951 ,49.4436051 ,7.7593100 ,
1874257605 ,49.4472096 ,7.7683738 ,
1874257606 ,49.4472371 ,7.7687309 ,
1874257608 ,49.4473347 ,7.7683111 ,
1874257611 ,49.4473624 ,7.7686682 ,
1874257638 ,49.4483314 ,7.7770731 ,
1874257646 ,49.4484136 ,7.7769008 ,
1885028498 ,49.4260022 ,7.7493164 ,
1885028499 ,49.4260088 ,7.7494524 ,
1885028505 ,49.4261356 ,7.7496126 ,
1885028506 ,49.4262280 ,7.7491685 ,
1911347556 ,49.5544009 ,7.4658393 ,
1925101672 ,49.4761933 ,7.6390842 ,
1925101738 ,49.4769124 ,7.6390387 ,
1930351755 ,49.4438697 ,7.6987017 ,
1930352867 ,49.4821673 ,7.6807123 ,
1945058119 ,49.4335965 ,7.7292859 ,
1964672302 ,49.4453581 ,7.7694303 ,
1968690755 ,49.4483349 ,7.7769857 ,
1968690777 ,49.4484394 ,7.7773504 ,
1968690782 ,49.4485378 ,7.7773302 ,
1970535731 ,49.4577800 ,7.8019240 ,
1970535732 ,49.4578646 ,7.8018452 ,
1973984714 ,49.4614813 ,7.8255700 ,
1975078525 ,49.5369398 ,7.4120028 ,
1976638928 ,49.4378795 ,7.7251455 ,
1976638947 ,49.4379560 ,7.7184916 ,
1976638951 ,49.4379706 ,7.7251209 ,
1976638976 ,49.4380409 ,7.7185454 ,
1976639044 ,49.4387024 ,7.7331634 ,
1976639064 ,49.4387506 ,7.7336430 ,
1976639092 ,49.4388057 ,7.7331432 ,
1976639097 ,49.4388551 ,7.7336178 ,
1976639102 ,49.4388727 ,7.7334216 ,
2058727604 ,49.4375508 ,7.7073532 ,
2058727647 ,49.4377430 ,7.7083398 ,
2068461479 ,49.4494871 ,7.7802588 ,
2068461484 ,49.4495175 ,7.7804812 ,
2068461487 ,49.4495477 ,7.7801441 ,
2068461490 ,49.4496544 ,7.7804952 ,
2068461493 ,49.4496674 ,7.7801552 ,
2068461498 ,49.4497047 ,7.7803565 ,
2068461523 ,49.4526713 ,7.7883195 ,
2068461528 ,49.4527781 ,7.7882418 ,
2068461535 ,49.4528029 ,7.7880238 ,
2068461583 ,49.4561950 ,7.7977471 ,
2068461591 ,49.4562799 ,7.7976699 ,
2068461593 ,49.4563074 ,7.7980591 ,
2068461598 ,49.4564019 ,7.7979833 ,
2068461604 ,49.4564249 ,7.7977122 ,
2071282157 ,49.4679592 ,7.6904445 ,
2071282268 ,49.4703851 ,7.6801000 ,
2090001649 ,49.4467960 ,7.7610005 ,
2090001657 ,49.4472711 ,7.7609411 ,
2133708133 ,49.4305111 ,7.6686302 ,
2133708139 ,49.4306015 ,7.6689601 ,
2133845061 ,49.6685080 ,8.0205136 ,
2133845103 ,49.6686710 ,8.0217135 ,
2150970981 ,49.4433936 ,7.8918936 ,
2153023901 ,49.6616623 ,8.0113372 ,
2169302048 ,49.4433687 ,7.8104349 ,
2169302063 ,49.4434255 ,7.8104311 ,
2169302066 ,49.4434342 ,7.8108283 ,
2169302102 ,49.4435207 ,7.8104300 ,
2169302104 ,49.4435299 ,7.8108207 ,
2169302151 ,49.4435752 ,7.8106370 ,
2169302316 ,49.4440453 ,7.8019352 ,
2169302321 ,49.4441395 ,7.8019537 ,
2169302366 ,49.4446942 ,7.7941152 ,
2169302369 ,49.4447302 ,7.7937638 ,
2169302375 ,49.4447941 ,7.7941281 ,
2169302379 ,49.4448273 ,7.7937834 ,
2169302393 ,49.4450761 ,7.7865937 ,
2181903256 ,49.4427096 ,7.7912812 ,
2181903265 ,49.4427724 ,7.7912135 ,
2184270865 ,49.4408349 ,7.7890730 ,
2184270869 ,49.4408351 ,7.7887478 ,
2184270873 ,49.4409307 ,7.7891199 ,
2206819800 ,49.4510641 ,7.7488710 ,
2209737615 ,49.4334500 ,7.7567603 ,
2209737621 ,49.4334845 ,7.7615068 ,
2209737632 ,49.4335329 ,7.7617269 ,
2209737636 ,49.4335537 ,7.7613500 ,
2209737641 ,49.4335794 ,7.7564165 ,
2209737646 ,49.4336194 ,7.7617380 ,
2209737648 ,49.4336418 ,7.7613966 ,
2209737658 ,49.4337296 ,7.7616048 ,
2210013288 ,49.4282297 ,7.7161834 ,
2210013335 ,49.4302983 ,7.7187739 ,
2210013432 ,49.4296889 ,7.7182315 ,
2210023812 ,49.4263485 ,7.7119930 ,
2210023880 ,49.4259616 ,7.7144824 ,
2231878737 ,49.4053035 ,7.7261886 ,
2287907998 ,49.4260449 ,7.7496039 ,
2287908003 ,49.4261482 ,7.7491528 ,
2291245722 ,49.4264515 ,7.7475981 ,
2291245724 ,49.4265265 ,7.7471697 ,
2292662912 ,49.4383814 ,7.7295130 ,
2319495572 ,49.3887562 ,7.3360533 ,
2390778079 ,49.4445803 ,7.7342194 ,
2390778092 ,49.4447213 ,7.7341921 ,
2417665348 ,49.6685014 ,8.0207728 ,
2419341621 ,49.5381025 ,7.4096747 ,
2446405626 ,49.4232976 ,7.7496460 ,
2446405630 ,49.4234075 ,7.7492176 ,
2446405632 ,49.4234365 ,7.7495256 ,
2450425999 ,49.4397601 ,7.8065348 ,
2450426003 ,49.4398458 ,7.8074023 ,
2450426059 ,49.4411822 ,7.8076913 ,
2450426108 ,49.4416644 ,7.8101599 ,
2450426113 ,49.4417001 ,7.8097230 ,
2450426116 ,49.4417279 ,7.8077953 ,
2450426124 ,49.4417908 ,7.8086108 ,
2450426134 ,49.4418509 ,7.8078734 ,
2450426136 ,49.4418602 ,7.8076833 ,
2450426145 ,49.4419934 ,7.8076268 ,
2450426146 ,49.4420419 ,7.8077371 ,
2450426165 ,49.4423128 ,7.8036261 ,
2450426168 ,49.4423212 ,7.8076874 ,
2450426179 ,49.4423791 ,7.8028292 ,
2450426184 ,49.4424030 ,7.8034130 ,
2450426190 ,49.4424231 ,7.8077803 ,
2450426229 ,49.4425165 ,7.8096322 ,
2450426538 ,49.4432316 ,7.8079254 ,
2452745504 ,49.4442811 ,7.7641046 ,
2472406503 ,49.4376538 ,7.7722654 ,
2472406526 ,49.4377361 ,7.7723724 ,
2472406548 ,49.4378666 ,7.7722046 ,
2481720336 ,49.6677657 ,8.0164292 ,
2499499379 ,49.4431738 ,7.8370180 ,
2499499381 ,49.4431749 ,7.8371037 ,
2509919637 ,49.6684090 ,8.0056910 ,
2514149957 ,49.6362891 ,7.9563356 ,
2571764101 ,49.6686316 ,8.0219316 ,
2672957757 ,49.4314297 ,7.7387007 ,
2672957768 ,49.4314738 ,7.7385645 ,
2672957771 ,49.4314739 ,7.7388515 ,
2672957790 ,49.4316141 ,7.7386529 ,
2672957800 ,49.4316821 ,7.7388251 ,
2712483929 ,49.4404674 ,7.7103732 ,
2712483954 ,49.4414840 ,7.7092883 ,
2850286683 ,49.4438320 ,7.8851073 ,
2892650354 ,49.4902341 ,7.8586307 ,
2898213847 ,49.4372455 ,7.7670991 ,
2928152928 ,49.6408487 ,8.1470799 ,
2949021306 ,49.4371810 ,7.7668214 ,
2949021319 ,49.4372867 ,7.7681494 ,
2949021346 ,49.4373977 ,7.7679105 ,
2949021356 ,49.4375643 ,7.7680106 ,
3049142674 ,49.4540394 ,7.7989403 ,
3065153191 ,49.4548433 ,7.7941870 ,
3065153196 ,49.4549096 ,7.7941281 ,
3071083563 ,49.3806391 ,7.3291753 ,
3071083585 ,49.3881497 ,7.3356550 ,
3071083603 ,49.4091033 ,7.3777823 ,
3071083609 ,49.4092382 ,7.3777793 ,
3071090876 ,49.3804150 ,7.3293805 ,
3071091029 ,49.4688517 ,7.4442484 ,
3075911848 ,49.5379300 ,7.4095067 ,
3075911856 ,49.5379916 ,7.4097450 ,
3075911964 ,49.5400112 ,7.4025162 ,
3075911965 ,49.5405581 ,7.4010064 ,
3075912258 ,49.5462646 ,7.3796474 ,
3075912298 ,49.5468944 ,7.3772919 ,
3286092423 ,49.4331605 ,7.7539421 ,
3286092424 ,49.4331641 ,7.7534051 ,
3286092428 ,49.4332392 ,7.7537093 ,
3286092429 ,49.4332600 ,7.7534806 ,
3297585874 ,49.4303219 ,7.6688647 ,
3297585895 ,49.4303910 ,7.6687067 ,
3297585938 ,49.4305230 ,7.6687940 ,
3319666381 ,49.4292761 ,7.6626110 ,
3352775145 ,49.4293605 ,7.6627171 ,
3415567097 ,49.4455051 ,7.7667769 ,
3575131616 ,49.4345742 ,7.6712499 ,
3575131648 ,49.4352403 ,7.6711306 ,
3575131651 ,49.4353163 ,7.6709435 ,
3613529713 ,49.4892785 ,7.9017252 ,
3636487851 ,49.4392813 ,7.7385741 ,
3636487854 ,49.4392553 ,7.7384547 ,
3636487857 ,49.4393724 ,7.7386011 ,
3636487865 ,49.4394726 ,7.7385131 ,
3636487868 ,49.4392924 ,7.7387047 ,
3638692643 ,49.4403217 ,7.9747553 ,
3715527814 ,49.4399447 ,7.7024403 ,
3715527820 ,49.4401191 ,7.7035501 ,
3715527821 ,49.4401458 ,7.7037371 ,
3715527824 ,49.4401876 ,7.7040087 ,
3715528226 ,49.4402111 ,7.7041876 ,
3715528233 ,49.4403965 ,7.7022758 ,
3715528245 ,49.4405648 ,7.7033880 ,
3715528247 ,49.4406008 ,7.7035716 ,
3715528275 ,49.4409311 ,7.7054224 ,
3715528280 ,49.4410286 ,7.7053622 ,
3715528305 ,49.4411477 ,7.7053609 ,
3715528544 ,49.4413547 ,7.7068999 ,
3715528545 ,49.4413233 ,7.7066590 ,
3715528566 ,49.4414395 ,7.7048348 ,
3715528583 ,49.4415140 ,7.7050344 ,
3715528602 ,49.4419213 ,7.7073625 ,
3715528603 ,49.4419757 ,7.7073354 ,
3715528605 ,49.4421242 ,7.7072698 ,
3715528607 ,49.4422353 ,7.7072717 ,
3747997226 ,49.6706738 ,7.9994910 ,
3761328468 ,49.4394576 ,7.9688174 ,
3805308471 ,49.6577718 ,7.6474480 ,
3805308472 ,49.6578716 ,7.6473496 ,
3805308476 ,49.6581570 ,7.6472488 ,
3885970260 ,49.6531793 ,8.0211436 ,
3914073860 ,49.6437863 ,8.1372609 ,
3914073874 ,49.6477537 ,8.1184165 ,
3938548433 ,49.4411711 ,7.7109444 ,
3938548434 ,49.4412428 ,7.7107296 ,
3938548435 ,49.4413056 ,7.7107275 ,
3938548436 ,49.4413604 ,7.7109222 ,
3938548437 ,49.4426392 ,7.7229141 ,
3938548438 ,49.4426590 ,7.7233448 ,
3938548439 ,49.4427845 ,7.7231249 ,
3938548441 ,49.4436181 ,7.7779763 ,
3938548443 ,49.4436581 ,7.7780033 ,
4019450324 ,49.6268608 ,7.8184114 ,
4022544717 ,49.4780562 ,7.7672534 ,
4022544736 ,49.4801131 ,7.7696510 ,
4022544738 ,49.4802081 ,7.7695375 ,
4022544740 ,49.4802171 ,7.7698212 ,
4126064134 ,49.4451844 ,7.7687650 ,
4161911712 ,49.4395788 ,7.7800723 ,
4161911713 ,49.4396311 ,7.7798311 ,
4161911714 ,49.4397186 ,7.7798128 ,
4161911719 ,49.4398427 ,7.7799446 ,
4173293188 ,49.4331731 ,7.7714727 ,
4174877767 ,49.6675037 ,8.0162658 ,
4174877773 ,49.6676361 ,8.0169182 ,
4188214783 ,49.6550700 ,8.0177359 ,
4188214784 ,49.6593563 ,8.0160735 ,
4195249488 ,49.6649092 ,8.0138102 ,
4195250089 ,49.6651129 ,8.0139948 ,
4223640862 ,49.4674356 ,7.4146101 ,
4333269336 ,49.4704785 ,7.6833511 ,
4358672595 ,49.7349441 ,7.8145500 ,
4449281142 ,49.4295066 ,7.7520911 ,
4550569905 ,49.4428334 ,7.7592159 ,
4550569907 ,49.4430416 ,7.7593211 ,
4550569908 ,49.4430422 ,7.7593270 ,
4589536695 ,49.6297376 ,7.8146245 ,
4591075292 ,49.7293401 ,7.7754391 ,
4707065431 ,49.6686594 ,8.0215900 ,
4736767361 ,49.4850331 ,7.7283204 ,
4736767368 ,49.4841464 ,7.7294013 ,
4834152819 ,49.5969107 ,7.9974842 ,
4834152863 ,49.5840395 ,7.9423604 ,
4836565141 ,49.5317904 ,7.5116804 ,
4836598051 ,49.5383130 ,7.8814342 ,
4844016270 ,49.4452850 ,7.7488128 ,
4844016273 ,49.4453996 ,7.7495678 ,
4844016274 ,49.4452361 ,7.7487146 ,
4844016276 ,49.4452953 ,7.7490356 ,
4844016277 ,49.4452262 ,7.7491273 ,
4906199104 ,49.4453405 ,7.7686831 ,
4906199107 ,49.4457505 ,7.7691586 ,
4940302513 ,49.4365738 ,7.7725731 ,
4963343958 ,49.4890162 ,7.9015183 ,
4963343977 ,49.4800900 ,7.8913545 ,
4966525846 ,49.4963832 ,7.8944937 ,
4987628006 ,49.5878047 ,7.6054424 ,
5007390887 ,49.4787428 ,7.6343704 ,
5010990889 ,49.4430983 ,7.6999499 ,
5058624829 ,49.6631454 ,8.0127952 ,
5230106341 ,49.4441891 ,7.6987365 ,
5230106342 ,49.4452668 ,7.7023950 ,
5230106343 ,49.4451587 ,7.7028188 ,
5230106344 ,49.4448518 ,7.7019390 ,
5230106345 ,49.4450454 ,7.7027947 ,
5230106346 ,49.4450837 ,7.7023065 ,
5230106347 ,49.4451221 ,7.7018666 ,
5230106348 ,49.4442379 ,7.6981035 ,
5230106349 ,49.4440321 ,7.6979613 ,
5230106350 ,49.4434898 ,7.6993427 ,
5230106880 ,49.4449529 ,7.7027544 ,
5230107045 ,49.4453889 ,7.7020168 ,
5244665586 ,49.4820736 ,7.6801096 ,
5244706601 ,49.5650637 ,8.0595584 ,
5244710344 ,49.5697611 ,8.0525183 ,
5274344741 ,49.3808021 ,7.3295852 ,
5274344744 ,49.3807888 ,7.3293201 ,
5590912536 ,49.4917020 ,7.8980675 ,
5590912547 ,49.4925166 ,7.8961346 ,
5626091266 ,49.5575975 ,8.0765960 ,
5743508996 ,49.5454247 ,7.3818803 ,
5743509003 ,49.5453465 ,7.3819140 ,
5743509115 ,49.5462236 ,7.3779067 ,
5761416753 ,49.4383779 ,7.9790984 ,
5761416755 ,49.4389762 ,7.9771511 ,
