time,peak_percentage
00:00,0.00
00:15,0.00
00:30,0.00
00:45,0.00
01:00,0.00
01:15,0.00
01:30,0.00
01:45,0.00
02:00,0.00
02:15,0.00
02:30,0.00
02:45,0.00
03:00,0.00
03:15,0.00
03:30,0.00
03:45,0.00
04:00,0.00
04:15,0.00
04:30,0.00
04:45,0.00
05:00,0.00
05:15,0.00
05:30,0.00
05:45,0.00
06:00,0.01
06:15,0.02
06:30,0.03
06:45,0.06
07:00,0.08
07:15,0.12
07:30,0.16
07:45,0.20
08:00,0.25
08:15,0.30
08:30,0.34
08:45,0.39
09:00,0.43
09:15,0.46
09:30,0.49
09:45,0.53
10:00,0.55
10:15,0.58
10:30,0.60
10:45,0.63
11:00,0.66
11:15,0.68
11:30,0.70
11:45,0.71
12:00,0.72
12:15,0.73
12:30,0.73
12:45,0.74
13:00,0.75
13:15,0.75
13:30,0.75
13:45,0.74
14:00,0.75
14:15,0.74
14:30,0.72
14:45,0.73
15:00,0.72
15:15,0.70
15:30,0.68
15:45,0.66
16:00,0.65
16:15,0.63
16:30,0.60
16:45,0.57
17:00,0.55
17:15,0.51
17:30,0.47
17:45,0.44
18:00,0.39
18:15,0.36
18:30,0.32
18:45,0.28
19:00,0.23
19:15,0.19
19:30,0.14
19:45,0.10
20:00,0.07
20:15,0.05
20:30,0.03
20:45,0.02
21:00,0.02
21:15,0.01
21:30,0.00
21:45,0.00
22:00,0.00
22:15,0.00
22:30,0.00
22:45,0.00
23:00,0.00
23:15,0.00
23:30,0.00
23:45,0.00
